Date,Open,High,Low,Close,Adj Close,Volume
7/25/24,5428.70,5491.59,5390.95,5399.22,5399.22,4592120000
7/24/24,5505.84,5508.04,5419.98,5427.13,5427.13,3945550000
7/23/24,5565.30,5585.34,5550.90,5555.74,5555.74,3500210000
7/22/24,5544.54,5570.36,5529.04,5564.41,5564.41,3375180000
7/19/24,5543.37,5557.50,5497.04,5505.00,5505.00,3760570000
7/18/24,5608.56,5614.05,5522.81,5544.59,5544.59,4007510000
7/17/24,5610.07,5622.49,5584.81,5588.27,5588.27,4246450000
7/16/24,5644.09,5669.67,5639.02,5667.20,5667.20,4041760000
7/15/24,5638.16,5666.94,5614.75,5631.22,5631.22,3620470000
7/12/24,5590.76,5655.56,5590.44,5615.35,5615.35,3700280000
7/11/24,5635.21,5642.45,5576.53,5584.54,5584.54,4020950000
7/10/24,5591.26,5635.39,5586.44,5633.91,5633.91,3336100000
7/9/24,5584.24,5590.75,5574.57,5576.98,5576.98,3232920000
7/8/24,5572.75,5583.11,5562.51,5572.85,5572.85,3185670000
7/5/24,5537.91,5570.33,5531.63,5567.19,5567.19,3253080000
7/3/24,5507.44,5539.27,5507.42,5537.02,5537.02,2179470000
7/2/24,5461.84,5509.69,5458.43,5509.01,5509.01,3329950000
7/1/24,5471.08,5479.55,5446.53,5475.09,5475.09,3488760000
6/28/24,5488.48,5523.64,5451.12,5460.48,5460.48,7199220000
6/27/24,5473.59,5490.81,5467.54,5482.87,5482.87,3589530000
6/26/24,5460.71,5483.14,5451.87,5477.90,5477.90,3563920000
6/25/24,5460.73,5472.88,5446.56,5469.30,5469.30,3591960000
6/24/24,5459.58,5490.66,5447.59,5447.87,5447.87,3696750000
6/21/24,5466.77,5478.31,5452.03,5464.62,5464.62,6773800000
6/20/24,5499.99,5505.53,5455.56,5473.17,5473.17,3847060000
6/18/24,5476.15,5490.38,5471.32,5487.03,5487.03,3544330000
6/17/24,5431.11,5488.50,5420.40,5473.23,5473.23,3447840000
6/14/24,5424.08,5432.39,5403.75,5431.60,5431.60,3438650000
6/13/24,5441.93,5441.93,5402.51,5433.74,5433.74,3530380000
